iter	Passed	Remaining
593	1610	1100
594	1612	1097
595	1615	1095
596	1618	1092
597	1621	1089
598	1623	1087
599	1626	1084
600	1629	1081
601	1632	1079
602	1634	1076
603	1637	1073
604	1640	1070
605	1643	1068
606	1645	1065
607	1648	1062
608	1651	1060
609	1653	1057
610	1656	1054
611	1658	1051
612	1661	1048
613	1664	1046
614	1666	1043
615	1669	1040
616	1672	1038
617	1675	1035
618	1677	1032
619	1680	1030
620	1683	1027
621	1686	1024
622	1689	1022
623	1692	1019
624	1694	1016
625	1697	1013
626	1699	1011
627	1702	1008
628	1705	1005
629	1707	1002
630	1710	1000
631	1713	997
632	1716	995
633	1719	992
634	1721	989
635	1724	986
636	1726	984
637	1729	981
638	1732	978
639	1734	975
640	1737	972
641	1740	970
642	1742	967
643	1745	964
644	1748	962
645	1751	959
646	1753	956
647	1756	954
648	1758	951
649	1761	948
650	1764	945
651	1766	943
652	1769	940
653	1772	937
654	1774	934
655	1777	932
656	1780	929
657	1783	926
658	1786	924
659	1788	921
660	1791	918
661	1794	916
662	1797	913
663	1799	910
664	1802	907
665	1805	905
666	1807	902
667	1810	899
668	1813	897
669	1815	894
670	1818	891
671	1821	888
672	1823	886
673	1826	883
674	1829	880
675	1831	877
676	1834	875
677	1837	872
678	1839	869
679	1842	866
680	1844	864
681	1847	861
682	1850	858
683	1852	856
684	1855	853
685	1858	850
686	1860	847
687	1863	845
688	1865	842
689	1868	839
690	1871	836
691	1873	833
692	1876	831
693	1878	828
694	1881	825
695	1884	822
696	1886	820
697	1889	817
698	1892	815
699	1895	812
700	1898	809
701	1900	806
702	1903	804
703	1906	801
704	1909	798
705	1912	796
706	1915	793
707	1917	791
708	1920	788
709	1923	785
710	1925	782
711	1928	780
712	1931	777
713	1933	774
714	1936	771
715	1939	769
716	1941	766
717	1944	763
718	1947	761
719	1950	758
720	1952	755
721	1955	753
722	1958	750
723	1961	747
724	1963	744
725	1966	742
726	1969	739
727	1971	736
728	1974	733
729	1976	731
730	1979	728
731	1982	725
732	1984	722
733	1987	720
734	1989	717
735	1992	714
736	1995	712
737	1998	709
738	2000	706
739	2003	703
740	2006	701
741	2008	698
742	2011	695
743	2013	692
744	2016	690
745	2019	687
746	2021	684
747	2024	682
748	2027	679
749	2029	676
750	2032	673
751	2035	671
752	2037	668
753	2040	665
754	2043	663
755	2046	660
756	2049	657
757	2052	655
758	2054	652
759	2057	649
760	2059	646
761	2062	644
762	2065	641
763	2067	638
764	2070	636
765	2073	633
766	2075	630
767	2078	627
768	2080	625
769	2083	622
770	2086	619
771	2089	617
772	2091	614
773	2094	611
774	2097	608
775	2099	606
776	2102	603
777	2105	600
778	2107	598
779	2110	595
780	2112	592
781	2115	589
782	2118	587
783	2121	584
784	2123	581
785	2126	578
786	2129	576
787	2132	573
788	2134	570
789	2137	568
790	2140	565
791	2142	562
792	2145	559
793	2147	557
794	2150	554
795	2153	551
796	2155	549
797	2158	546
798	2161	543
799	2164	541
800	2167	538
801	2170	535
802	2173	533
803	2175	530
804	2178	527
805	2181	525
806	2184	522
807	2186	519
808	2189	516
809	2192	514
810	2195	511
811	2197	508
812	2200	506
813	2203	503
814	2205	500
815	2208	498
816	2211	495
817	2213	492
818	2216	489
819	2219	487
820	2221	484
821	2224	481
822	2227	478
823	2229	476
824	2232	473
825	2234	470
826	2237	468
827	2240	465
828	2242	462
829	2246	460
830	2249	457
831	2251	454
832	2254	451
833	2257	449
834	2259	446
835	2262	443
836	2264	441
837	2267	438
838	2269	435
839	2272	432
840	2275	430
841	2278	427
842	2281	424
843	2284	422
844	2286	419
845	2289	416
846	2291	413
847	2294	411
848	2297	408
849	2299	405
850	2302	403
851	2305	400
852	2308	397
853	2310	395
854	2313	392
855	2316	389
856	2319	386
857	2321	384
858	2324	381
859	2326	378
860	2329	376
861	2331	373
862	2334	370
863	2337	367
864	2340	365
865	2343	362
866	2345	359
867	2348	357
868	2350	354
869	2353	351
870	2356	348
871	2358	346
872	2361	343
873	2364	340
874	2366	338
875	2369	335
876	2372	332
877	2374	329
878	2377	327
879	2380	324
880	2382	321
881	2385	319
882	2388	316
883	2390	313
884	2393	311
885	2396	308
886	2398	305
887	2401	302
888	2404	300
889	2406	297
890	2409	294
891	2412	292
892	2414	289
893	2417	286
894	2420	283
895	2422	281
896	2425	278
897	2428	275
898	2431	273
899	2433	270
900	2436	267
901	2439	265
902	2441	262
903	2444	259
904	2447	256
905	2449	254
906	2452	251
907	2454	248
908	2457	246
909	2460	243
910	2462	240
911	2465	237
912	2468	235
913	2471	232
914	2473	229
915	2476	227
916	2479	224
917	2481	221
918	2484	218
919	2487	216
920	2489	213
921	2492	210
922	2494	208
923	2497	205
924	2500	202
925	2502	200
926	2505	197
927	2508	194
928	2510	191
929	2513	189
930	2516	186
931	2518	183
932	2521	181
933	2524	178
934	2527	175
935	2529	172
936	2532	170
937	2535	167
938	2537	164
939	2540	162
940	2543	159
941	2545	156
942	2548	154
943	2551	151
944	2553	148
945	2556	145
946	2559	143
947	2562	140
948	2564	137
949	2567	135
950	2570	132
951	2572	129
952	2575	127
953	2578	124
954	2580	121
955	2582	118
956	2585	116
957	2588	113
958	2591	110
959	2594	108
960	2597	105
961	2600	102
962	2602	99
963	2604	97
964	2607	94
965	2610	91
966	2612	89
967	2615	86
968	2618	83
969	2621	81
970	2623	78
971	2626	75
972	2629	72
973	2631	70
974	2634	67
975	2637	64
976	2639	62
977	2642	59
978	2645	56
979	2647	54
980	2650	51
981	2653	48
982	2656	45
983	2658	43
984	2661	40
985	2664	37
986	2666	35
987	2669	32
988	2672	29
989	2674	27
990	2677	24
991	2680	21
992	2683	18
993	2686	16
994	2688	13
995	2691	10
996	2694	8
997	2696	5
998	2699	2
999	2701	0
